Unnamed: 0,user_name,date,rating,review_text
28,김이호,1년 전,5,"걷기 좋은곳...
자전거 타기 좋은곳...
휴식하면서 쉬기 좋은곳...
연인과 손잡고 데이트 하기 좋은곳...
뭘 하든 좋은곳만 많은곳이 삼락생태공원이다.
낙동강변을 끼고 상당히 넓은 대단위 규모로 조성된 공원이라서 왠만한 시설들은 모두 갖추어져 있어서 이곳을 찾는 사람들의 불편함이 없다.
야구장  농구장 축구장에 헬스장이며 자전거 전용 경륜장에 곳곳엔 편히 앉아 쉴수있는 벤취와 그늘막이 있고 여름철엔 간이 수영장도 운영하고…"
31,MS J,1년 전,4,"주차장 여러곳이 있어 주차는 되지만 행사나 주말에는
가까운 주차장은 자리가 빨리 찹니다. 산책하기 좋고
애견인들도 자주오는거같습니다. 싸이클장 야구장등
여러시설이 있고, 방문하는 대다수는 산책정도 하는거같습니다.
가볼만한곳."
36,차니차니,1년 전,5,자전거도로 너무 잘되어 있어 자전거타고 놀기 너무 좋아요. 인라인 킥보드 아이들이 즐기기에 딱이네요. 잔디그늘에 그늘막치고 도시락먹으며 놀수있어 최고네요~
38,서금주,1년 전,5,"내가 머리식히려 잘 가는 곳!
아주 넓은 공간이 야외로 나가지 않아도 도시에 있다는 것!
강도 나무도 꽃도 즐길 수 있는  눈맛좋고 기분좋게 만드는
공간. 봄, 여름, 가을, 겨울이 다 특색있어 언제나 가고 싶은 곳. 봄물 오를 때, 흐느적거리는 연둣빛 버드나무와 강가의 붓꽃(아이리스)를 꼭 즐겨보시길 권함. 여름날은  이른 아침에 거닐어보시길! 가을의 갈대숲과 역새밭을 즐겨보시길..겨울..강가에서 강바람을 맞아보시길..
제가 넘 사랑하는 장소입니다. 강추!"
51,Jimmy Lee,1년 전,5,부산국제락페스티벌 참여를 위해 서울에서 당일치기로 다녀왔습니다. 강에서 바다로 이어지는 길목의 공원이라 뉴욕 멘하탄 리버사이드 같은 느낌이 나더군요!! 서울 한강공원이 하나도 부러울 것이 없는 넓은 공원이였습니다. 한여름밤에 시원한 강바람 맞으며 라이브 음악을 들으니 세상 좋더라구요. 화장실이나 비오면 진흙처럼 떡지는 바닥으로 사람들이 뭐라고 했지만 그렇지 않은 야외공원이 어디 많은가요.. ㅎ
58,Jangwon Lee,1년 전,5,계절마다 즐길수있는 풍경이 멋지고 자전거대여도 해줌.자전거 로드로써 매우 훌륭함.사진찍기도 좋으며 운동하기도 좋음.
59,神의손TV,1년 전,4,"야구장,축구장,테니스장 그리고 강변따라 강변길이
형성이 잘되어있는곳이다
한강시민공원 같은곳이지만 한강보다 공원조성이 
크게 잘되어있고 크고넓은 무료주차장이 있기때문에 언제든지 맘편하게올수있는곳이다
봄에는 강변길따라 자전거길이있고 봄에는 벚꽃의절정을 볼수있는곳이다
아쉬운점이있다면 축구장은 잔듸구장인데 야구장은 흙밭이다 요즘 잔듸야구장이 주류던데
그점이 약간은 아쉬워보인다"
63,Doo아튀스트,1년 전,5,4계절 언제든 갈 수 있는 북구사람들이 사랑하는 삼락공원입니다. 특히 3월과 4월에는 봄을 알리는 다채로운 행사덕분에 볼거리 먹거리가 많지만 일찍 안간다면  차량 정체 주차난국에 시달린답니다.
84,NARA Kim,1년 전,5,진해 여좌천보다 더 큰 벛꽃나무들이 길게 연결되어 있습니다. 숨은 벛꽃 명소네요.#부산서부버스터미널 #숨은 #벛꽃길
94,김윤성,1년 전,5,"원시림같은자연적인대고원이도심에있다는것이지랑스럽습니다꾸미지않은자연적인공원에서만나요
삼락공원은근처에사는나에게일억의가치가있다"
97,Changyeong Park,1년 전,5,"부산 사람 유명. 휴식처
체육시설. 공원. 국궁장. 심지어 야생화단지에 요트선착장도 있음"
101,이영례,1년 전,5,"생태 습지대  환경이 아주좋습니다.
넓고 깨끗한 공기가 기분이 업되었습니다."
104,Seong-chul Jeon,1년 전,3,"산책하기 좋습니다. 단, 여름에 모기가 많아요"
110,Mr.연호아범,1년 전,3,가까운 나들이 지역으로 괜찮아요. 주차공간도 많고 넓고. 도시락 들고 가보세요~
111,김종문,1년 전,4,강과습지탐방로가많아가벼운산책과건강을위해걷기운동하기좋은장소입니다             계절에따라꽃과향기도좋아요
112,김가현,1년 전,5,"자전거, 싸이클, 공간이 있습니다. 골프장도 있습니다. 생태공원 정말 좋습니다. 강아지 산책시키기에 최고입니다."
113,cha eon Lee,1년 전,5,크리스마스에 방문했습니다. 날이 추워 사람이 많지 않아서 주차도 하기 좋았고 다니기도 좋았습니다. 자전거 대여해서 트랙 돌기도 좋았구요. 5세 아이와 외출했는데 자전거 신나게 탔다고 좋아하네요
114,부산엄지척콜밴,1년 전,5,벚꽃이 활짝 피었다 이제 슬슬 지고 있어요. 이제는 산수유가 활짝 피어 있어서 참 멋진 풍경 사진을 찍어요.
115,소르빈,1년 전,5,"엄청 평화로운곳,자전거 대여는 꽤나 안쪽으로 들어가야지 있음"
120,금석훈,1년 전,5,어린이들과 자연생태를 이해하기좋고 가족 피크닉 장소도 좋음
122,H.S. Song,1년 전,4,주차가 어려웠습니다. 사상(?) 지하철 역에서 걸어갈 경우 성인 속도로 10분이 채 걸리지 않는것 같네요.
123,송호신,1년 전,5,"서부산의 유서깊은 넓은공원
들판이 넓고 레저시설 오토캠핑 수영장 요트체험장등이 있다
조깅이나 자전거 산책에 좋고 야외헬스시설좋다 쓰레기는 자가수거이며
휴식에 좋다"
125,박병진,1년 전,3,"낙동강에 면한 사상구의 휴식 공원으로 봄,가을로 산책하거나 자전거 타기 등에 아주 좋은 곳. 반면 너무 많은 승용차가 출입하는 점이 아늑한 분위기를 망치는 경향 있음."
126,Hyuncheol Jeong,1년 전,5,진정한 힐링생태공원 크기의 방대한크기와 고즈넉함 그리고 노을
131,정진영,1년 전,4,.낙동강둑에는 벗나무가장관입니다 봄에벗꽃 필때는 너무 아름다워 전국에서 구경옵니다 요사이는 벗꽃이지고 벗나무잎이 무성하여 시원하고산책하기좋습니다 자전거 길과 사람이 다니는길이구분되어있니다 여기자전거길 이 안동땜까지 485키로 연결되어있어니 한번도전해 볼만함니다
134,한미현,1년 전,4,도심에서 조금벗어나 즐기기좋은곳입니다 댕댕이도 좋아합니다
135,박준하,1년 전,5,"벚꽃 명소,제방 산책길 걷기 편해서 걷기운동 하기 좋아요"
136,이호준,1년 전,3,나만의시간넓은나의정원특히국붕장앞정원 의허브향
137,ssica Je,1년 전,5,지난 추석때 방문했습니다. 자전저 타고 싶어해서 자건거 대여해서 즐겁게 타고 왔어요~ 넓은 공간에 강변따라 타면 더 근사한 곳입니다.
138,사파마날리,1년 전,5,"돗자리 도시락 들고와서
 놀다 쉬다 가기 좋아요~"
139,최미순,1년 전,5,봄마다  찾아가는 이곳은 너무예쁘고  아무리 보아도 질리지않아요~~
140,떠나자tv로즈마리,1년 전,5,"언제가도 좋은곳

6월의 신록이 가득한"
142,이태한,1년 전,5,데이트 좋아요 밤에보이는 뷰도 아름다워요
144,이종명,1년 전,5,"확트인 넓은 공간과 갈대숲, 캠프장등등 다양한장소가 마련되어 있고 
산책하기에 좋습니다"
146,임성일,1년 전,5,매번 지나가면서 이쁘다했는데 좋아요 그리고 캠핑첨와봤는데 추천합니다
147,Youngjoon Kwon,1년 전,4,화장실만 쉽게 찾을 수 있으면  아주 좋을텐데....
150,김영태,1년 전,5,사상지역휴식공간으로최고입니다
151,BC A,1년 전,3,산책 하기 좋은 곳 햇빛을 피하는 장소가 부족하다
154,Sweep hee,1년 전,5,"집 앞임. 평생동안 여기 몇천번은 온 듯. 헬스기구 공짜로 이용할 수 있고 길게 늘어져있는 산책로. 안으로 들어가면 낙동강 볼 수 있고 근처에 잔디, 벤치 잘 깔아뒀음. 근데 축제때는 별로 오고싶지 않은 장소기도 함. 경치와 어울리지 않는 오래된 파라솔 노점상들 많음. 쓰레기 아무데나 버리는 사람도 많고... 여름에 락페도 열림."
155,최피취,1년 전,5,"축제기간 많은 인원이 방문 하였음에도 깨끗하고 질서있었어요.
노점상 번데기 냄새 많이나요."
159,서상현,1년 전,4,유채꽃이 만발함 한두시간 쉬어가기 좋은곳
162,김기문,1년 전,5,"산책하기 좋고 축구장,야구장,족구장,인라인스케이트,자전거 탈 곳 다 따로 있어요 테니스장도 따로 있고 굉장히 넓어서 공기도 좋고 놀기 좋습니다. 주말에 따로 온라인예약 하면 캠핑장도 쓸 수 있어요"
165,욱이,1년 전,5,"주차장도 많고
쉴수 있는 공간도 많아요
여유롭게 산책하기 좋은 곳이예요"
166,이선주,1년 전,5,돗자리들고 도시락싸서 쉬고오기에 좋아요 운동기구도있고 자전거라인도있어요
167,KHL_ Hoon,1년 전,3,맑은날에 가면 괜찮은데.....그늘도 부족해서 쉴곳이 부족하고 행사기간에 비가오면 좀 엉망진창이 되는게 아쉽....
168,김민철,1년 전,5,"삼락생태공원, 낙동강제방 벚꽃죽제에
가서 걸었어요. 벚꽃 피어있는 환상적인 길입니다."
169,Dong-hun Jeon,1년 전,5,"가족나들이, 산책, 자전거, 휴식을 위한 최고의 장소. 넓은 주차 시설, 확 트인 경치~!"
